# This file is automatically generated, do not edit.
#
# The format of the data in this table is as follows:
#
# char zh big5 hkscs zhuyin kanji hiragana katakana punct symbol cj3_codes cj5_codes frequency

⒌ 0 0 0 0 0 0 0 0 1 ! zba 0
⒍ 0 0 0 0 0 0 0 0 1 ! zba 0
⒎ 0 0 0 0 0 0 0 0 1 ! zba 0
⒏ 0 0 0 0 0 0 0 0 1 ! zba 0
⒐ 0 0 0 0 0 0 0 0 1 ! zba 0
⒑ 0 0 0 0 0 0 0 0 1 ! zba 0
⒒ 0 0 0 0 0 0 0 0 1 ! zba 0
⒓ 0 0 0 0 0 0 0 0 1 ! zba 0
⒔ 0 0 0 0 0 0 0 0 1 ! zba 0
⒕ 0 0 0 0 0 0 0 0 1 ! zba 0
⒖ 0 0 0 0 0 0 0 0 1 ! zba 0
⒗ 0 0 0 0 0 0 0 0 1 ! zba 0
⒘ 0 0 0 0 0 0 0 0 1 ! zba 0
⒙ 0 0 0 0 0 0 0 0 1 ! zba 0
⒚ 0 0 0 0 0 0 0 0 1 ! zba 0
⒛ 0 0 0 0 0 0 0 0 1 ! zba 0
╳ 0 0 0 0 0 0 0 0 1 ! yyybo 0
■ 0 0 0 0 0 0 0 0 1 yyybh yyybh,za 0
□ 0 0 0 0 0 0 0 0 1 yyybg yyybg,za 0
▲ 0 0 0 0 0 0 0 0 1 yyybb yyybb,za 0
△ 0 0 0 0 0 0 0 0 1 yyyba yyyba,za 0
▼ 0 0 0 0 0 0 0 0 1 yyybd yyybd 0
▽ 0 0 0 0 0 0 0 0 1 yyybc yyybc 0
◆ 0 0 0 0 0 0 0 0 1 yyybf yyybf,za 0
◇ 0 0 0 0 0 0 0 0 1 yyybe yyybe,za 0
○ 0 0 0 0 0 0 0 0 1 xxr,xxxxx,yyybk yyybk,za 0
◎ 0 0 0 0 0 0 0 0 1 yyybn yyybn,za 0
● 0 0 0 0 0 0 0 0 1 yyybl yyybl,za 0
★ 0 0 0 0 0 0 0 0 1 yyybj yyybj,za 0
☆ 0 0 0 0 0 0 0 0 1 yyybi yyybi,za 0
♀ 0 0 0 0 0 0 0 0 1 yyybr yyybr 0
♂ 0 0 0 0 0 0 0 0 1 yyybq yyybq 0
　 0 0 0 0 0 0 0 1 0 zxaa zxaa 0
、 0 0 0 0 0 0 0 1 0 i,xi,zxac i,xi,zxac 0
。 0 0 0 0 0 0 0 1 0 xr,yyyco,zxad xr,yyyco,zxad 0
〇 0 0 0 0 0 0 0 0 1 ! xxr,xxxxx 0
〈 0 0 0 0 0 0 0 1 0 yyyae,zxby yyyae,za,zxby 0
〉 0 0 0 0 0 0 0 1 0 yyyaf,zxca yyyaf,za,zxca 0
《 0 0 0 0 0 0 0 1 0 yyyag,zxbu yyyag,za,zxbu 0
》 0 0 0 0 0 0 0 1 0 yyyah,zxbv yyyah,za,zxbv 0
「 0 0 0 0 0 0 0 1 0 yyyaa,zxcd yyyaa,za,zxcd 0
」 0 0 0 0 0 0 0 1 0 yyyab,zxce yyyab,za,zxce 0
『 0 0 0 0 0 0 0 1 0 yyyac,zxch yyyac,za,zxch 0
』 0 0 0 0 0 0 0 1 0 yyyad,zxci yyyad,za,zxci 0
【 0 0 0 0 0 0 0 1 0 yyyam,zxbq yyyam,za,zxbq 0
】 0 0 0 0 0 0 0 1 0 yyyan,zxbr yyyan,za,zxbr 0
〓 0 0 0 0 0 0 0 0 1 ! za 0
〔 0 0 0 0 0 0 0 1 0 zxbm yyyao,za,zxbm 0
〕 0 0 0 0 0 0 0 1 0 zxbn yyyap,za,zxbn 0
〖 0 0 0 0 0 0 0 1 0 ! yyyak,za 0
〗 0 0 0 0 0 0 0 1 0 ! yyyal,za 0
〝 0 0 0 0 0 0 0 1 0 zxcv zxcv 0
〞 0 0 0 0 0 0 0 1 0 zxcw zxcw 0
〡 0 0 0 0 0 0 0 0 1 yyygh yyygh 0
〢 0 0 0 0 0 0 0 0 1 yyygi yyygi 0
〣 0 0 0 0 0 0 0 0 1 yyygj yyygj 0
〥 0 0 0 0 0 0 0 0 1 yyygk yyygk 0
〦 0 0 0 0 0 0 0 0 1 yyygl yyygl 0
〧 0 0 0 0 0 0 0 0 1 yyygm yyygm 0
〨 0 0 0 0 0 0 0 0 1 yyygn yyygn 0
぀ 0 0 0 0 0 1 0 0 0 ! ! 0
ぁ 0 0 0 0 0 1 0 0 0 zja zja 0
あ 0 0 0 0 0 1 0 0 0 zja zja 0
ぃ 0 0 0 0 0 1 0 0 0 zji zji 0
い 0 0 0 0 0 1 0 0 0 zji zji 0
ぅ 0 0 0 0 0 1 0 0 0 zju zju 0
う 0 0 0 0 0 1 0 0 0 zju zju 0
ぇ 0 0 0 0 0 1 0 0 0 zje zje 0
え 0 0 0 0 0 1 0 0 0 zje zje 0
ぉ 0 0 0 0 0 1 0 0 0 zjo zjo 0
お 0 0 0 0 0 1 0 0 0 zjo zjo 0
か 0 0 0 0 0 1 0 0 0 zjka zjka 0
が 0 0 0 0 0 1 0 0 0 zjka zjka 0
き 0 0 0 0 0 1 0 0 0 zjki zjki 0
ぎ 0 0 0 0 0 1 0 0 0 zjki zjki 0
く 0 0 0 0 0 1 0 0 0 zjku zjku 0
ぐ 0 0 0 0 0 1 0 0 0 zjku zjku 0
け 0 0 0 0 0 1 0 0 0 zjke zjke 0
げ 0 0 0 0 0 1 0 0 0 zjke zjke 0
こ 0 0 0 0 0 1 0 0 0 zjko zjko 0
ご 0 0 0 0 0 1 0 0 0 zjko zjko 0
さ 0 0 0 0 0 1 0 0 0 zjsa zjsa 0
ざ 0 0 0 0 0 1 0 0 0 zjsa zjsa 0
し 0 0 0 0 0 1 0 0 0 zjsi zjsi 0
じ 0 0 0 0 0 1 0 0 0 zjsi zjsi 0
す 0 0 0 0 0 1 0 0 0 zjsu zjsu 0
ず 0 0 0 0 0 1 0 0 0 zjsu zjsu 0
せ 0 0 0 0 0 1 0 0 0 zjse zjse 0
ぜ 0 0 0 0 0 1 0 0 0 zjse zjse 0
そ 0 0 0 0 0 1 0 0 0 zjso zjso 0
ぞ 0 0 0 0 0 1 0 0 0 zjso zjso 0
た 0 0 0 0 0 1 0 0 0 zjta zjta 0
だ 0 0 0 0 0 1 0 0 0 zjta zjta 0
ち 0 0 0 0 0 1 0 0 0 zjti zjti 0
ぢ 0 0 0 0 0 1 0 0 0 zjti zjti 0
っ 0 0 0 0 0 1 0 0 0 zjtu zjtu 0
つ 0 0 0 0 0 1 0 0 0 zjtu zjtu 0
づ 0 0 0 0 0 1 0 0 0 zjtu zjtu 0
て 0 0 0 0 0 1 0 0 0 zjte zjte 0
で 0 0 0 0 0 1 0 0 0 zjte zjte 0
と 0 0 0 0 0 1 0 0 0 zjto zjto 0
ど 0 0 0 0 0 1 0 0 0 zjto zjto 0
な 0 0 0 0 0 1 0 0 0 zjna zjna 0
に 0 0 0 0 0 1 0 0 0 zjni zjni 0
ぬ 0 0 0 0 0 1 0 0 0 zjnu zjnu 0
ね 0 0 0 0 0 1 0 0 0 zjne zjne 0
の 0 0 0 0 0 1 0 0 0 zjno zjno 0
は 0 0 0 0 0 1 0 0 0 zjha zjha 0
ば 0 0 0 0 0 1 0 0 0 zjha zjha 0
ぱ 0 0 0 0 0 1 0 0 0 zjha zjha 0
ひ 0 0 0 0 0 1 0 0 0 zjhi zjhi 0
び 0 0 0 0 0 1 0 0 0 zjhi zjhi 0
ぴ 0 0 0 0 0 1 0 0 0 zjhi zjhi 0
ふ 0 0 0 0 0 1 0 0 0 zjhu zjhu 0
ぶ 0 0 0 0 0 1 0 0 0 zjhu zjhu 0
ぷ 0 0 0 0 0 1 0 0 0 zjhu zjhu 0
へ 0 0 0 0 0 1 0 0 0 zjhe zjhe 0
べ 0 0 0 0 0 1 0 0 0 zjhe zjhe 0
ぺ 0 0 0 0 0 1 0 0 0 zjhe zjhe 0
ほ 0 0 0 0 0 1 0 0 0 zjho zjho 0
ぼ 0 0 0 0 0 1 0 0 0 zjho zjho 0
ぽ 0 0 0 0 0 1 0 0 0 zjho zjho 0
ま 0 0 0 0 0 1 0 0 0 zjma zjma 0
み 0 0 0 0 0 1 0 0 0 zjmi zjmi 0
む 0 0 0 0 0 1 0 0 0 zjmu zjmu 0
め 0 0 0 0 0 1 0 0 0 zjme zjme 0
も 0 0 0 0 0 1 0 0 0 zjmo zjmo 0
ゃ 0 0 0 0 0 1 0 0 0 zjya zjya 0
や 0 0 0 0 0 1 0 0 0 zjya zjya 0
ゅ 0 0 0 0 0 1 0 0 0 zjyu zjyu 0
ゆ 0 0 0 0 0 1 0 0 0 zjyu zjyu 0
ょ 0 0 0 0 0 1 0 0 0 zjyo zjyo 0
よ 0 0 0 0 0 1 0 0 0 zjyo zjyo 0
ら 0 0 0 0 0 1 0 0 0 zjra zjra 0
り 0 0 0 0 0 1 0 0 0 zjri zjri 0
る 0 0 0 0 0 1 0 0 0 zjro zjro 0
れ 0 0 0 0 0 1 0 0 0 zjre zjre 0
ろ 0 0 0 0 0 1 0 0 0 zjro zjro 0
ゎ 0 0 0 0 0 1 0 0 0 zjwa zjwa 0
わ 0 0 0 0 0 1 0 0 0 zjwa zjwa 0
ゐ 0 0 0 0 0 1 0 0 0 zjwi zjwi 0
ゑ 0 0 0 0 0 1 0 0 0 zjwe zjwe 0
を 0 0 0 0 0 1 0 0 0 zjwo zjwo 0
ん 0 0 0 0 0 1 0 0 0 zjn zjn 0
ゔ 0 0 0 0 0 1 0 0 0 ! ! 0
ゕ 0 0 0 0 0 1 0 0 0 ! ! 0
ゖ 0 0 0 0 0 1 0 0 0 ! ! 0
゗ 0 0 0 0 0 1 0 0 0 ! ! 0
゘ 0 0 0 0 0 1 0 0 0 ! ! 0
゙ 0 0 0 0 0 1 0 0 0 ! ! 0
゚ 0 0 0 0 0 1 0 0 0 ! ! 0
゛ 0 0 0 0 0 1 0 0 0 ! ! 0
゜ 0 0 0 0 0 1 0 0 0 ! ! 0
ゝ 0 0 0 0 0 1 0 0 0 ! ! 0
ゞ 0 0 0 0 0 1 0 0 0 ! ! 0
ゟ 0 0 0 0 0 1 0 0 0 ! ! 0
゠ 0 0 0 0 0 0 1 0 0 ! ! 0
ァ 0 0 0 0 0 0 1 0 0 zja zja 0
ア 0 0 0 0 0 0 1 0 0 zja zja 0
ィ 0 0 0 0 0 0 1 0 0 zji zji 0
イ 0 0 0 0 0 0 1 0 0 zji zji 0
ゥ 0 0 0 0 0 0 1 0 0 zju zju 0
ウ 0 0 0 0 0 0 1 0 0 zju zju 0
ェ 0 0 0 0 0 0 1 0 0 zje zje 0
エ 0 0 0 0 0 0 1 0 0 zje zje 0
ォ 0 0 0 0 0 0 1 0 0 zjo zjo 0
オ 0 0 0 0 0 0 1 0 0 zjo zjo 0
カ 0 0 0 0 0 0 1 0 0 zjka zjka 0
ガ 0 0 0 0 0 0 1 0 0 zjka zjka 0
キ 0 0 0 0 0 0 1 0 0 zjki zjki 0
ギ 0 0 0 0 0 0 1 0 0 zjki zjki 0
ク 0 0 0 0 0 0 1 0 0 zjku zjku 0
グ 0 0 0 0 0 0 1 0 0 zjku zjku 0
ケ 0 0 0 0 0 0 1 0 0 zjke zjke 0
ゲ 0 0 0 0 0 0 1 0 0 zjke zjke 0
コ 0 0 0 0 0 0 1 0 0 zjko zjko 0
ゴ 0 0 0 0 0 0 1 0 0 zjko zjko 0
サ 0 0 0 0 0 0 1 0 0 zjsa zjsa 0
ザ 0 0 0 0 0 0 1 0 0 zjsa zjsa 0
